"idlqui"|"tipo"|"fec_despacho"|"importa"|"contene_nro"|"merca"|"destino"|"via"|"aduana"|"trans_emp"|"trans_condi"|"despacho_nro"|"zona"|"exportador"|"m_imponible"|"m_ajuste"|"m_factura"|"nro_factura"|"m_flete"|"m_seguro"|"m_cif"|"m_cif_ajuste"|"tc_aduana"|"moneda"|"regime"|"incotern"|"m_ttdespacho"|"m_adelanto"|"m_pagar"|"m_letra"|"observa"|"otro_nombre"|"otro_monto"|"utilidad"
367|"IMPORTACIÓN"|"2023-02-15"|"SANTA ANA TEXTIL S.A."|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANS UNION SOCIEDAD ANONIMA"|"F.C.L."|"23005IT02000322S"|"EXTRAZONA"|"MALLANA ASIA IMPORT & EXPORT PTE.LTD"|504419504|0|65903.54|"-"|2694.99|659.04|69257.57|69257.57|7283.24|"DOLAR"|"IT02"|"FOB"|11748523|4095000|7653523|"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES "|"EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS "|"OTROS"|0|2.329117511681309
365|"IMPORTACIÓN"|"2023-02-14"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"COOP. MULT. DE TRABAJO Y OTRO "|"F.C.L."|"23005IC04002879W"|"MERCOSUR (INTRAZONA)"|"GERALDO N. RECKTENWALD & CIA LTDA"|307446450|0|40310.0|"005PY/2023"|1500.0|403.1|42213.1|42213.1|7283.2|"DOLAR"|"IC04"|"FCA"|41066460|33743685|7322775|"SIETE MILLON TRECIENTOS VEINTE Y DOS MIL SETECIENTOS SETENTA Y CINCO "|"NINGUNA"|"OTROS"|0|13.357272461594532
364|"IMPORTACIÓN"|"2023-02-10"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"COOP. MULT. DE TRABAJO Y OTRO "|"F.C.L."|"23005IC04002603H"|"MERCOSUR (INTRAZONA)"|"GERALDO N. RECKTENWALD & CIA LTDA"|354133589|0|46361.41|"004PY/2023"|1800.0|463.61|48625.02|48625.02|7282.95|"DOLAR"|"IC04"|"FCA"|46601198|38889125|7712073|"SIETE MILLON SETECIENTOS DOCE MIL SETENTA Y TRES "|"NINGUNA"|"OTROS"|0|13.159214332532574
363|"IMPORTACIÓN"|"2023-02-16"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"COOP. MULT. DE TRABAJO Y OTRO "|"L.C.L."|"23005IC04002726N"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|1048846597|0|141096.68|"03/2022"|1500.0|1410.97|144007.65|144007.65|7283.27|"DOLAR"|"IC04"|"EXW"|128982664|115950545|13032119|"TRECE MILLONES TREINTA Y DOS MIL CIENTO DIECINUEVE"|"NINGUNA"|"OTROS"|0|12.29757186312347
362|"IMPORTACIÓN"|"2023-02-10"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"COOP. MULT. DE TRABAJO Y OTRO "|"L.C.L."|"23005IM04000064Z"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|5370975|0|433.11|"04/2023"|300.0|4.33|737.44|737.44|7283.27|"DOLAR"|"IM04"|"EXW"|2234823|837058|1397765|"UN MILLON TRECIENTOS NOVENTA Y SIETE MIL SETECIENTOS SESENTA Y CINCO "|"NINGUNA"|"OTROS"|0|41.60926088838619
361|"IMPORTACIÓN"|"2023-02-09"|"ELECTRO PARANA SRL"|"-"|"ARTICULOS DE FERRETERIA "|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"SOLUCIÓN LOGÍSTICA"|"ANED TRANSPORTES SOCIEDAD DE R"|"F.C.L."|"23030IC04001776P"|"MERCOSUR (INTRAZONA)"|"BARBURY COMPANY S.A."|87510980|0|11533.57|"0005-00000607"|450.0|32.3|12015.87|12015.87|7282.95|"DOLAR"|"IC04"|"FCA"|13443866|9656706|3787160|"TRES MILLON SETECIENTOS OCHENTA Y SIETE MIL CIENTO SESENTA "|"NINGUNA"|"OTROS"|0|15.362490512619102
359|"IMPORTACIÓN"|"2023-02-06"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"BTR"|"L.C.L."|"23005IM04000055Z"|"MERCOSUR (INTRAZONA)"|"BENPAR INDUSTRIA AGRICOLA LTDA"|2787639|0|130.0|"001/2023"|250.0|1.3|381.3|381.3|7310.88|"DOLAR"|"IM04"|"FCA"|1708288|345062|1363226|"UN MILLON TRECIENTOS SESENTA Y TRES MIL DOSCIENTOS VEINTE Y SEIS "|"NINGUNA"|"OTROS"|0|61.28081864258608
358|"IMPORTACIÓN"|"2023-02-07"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"COOP. MULT. DE TRABAJO Y OTRO "|"F.C.L."|"23005IC04002430F"|"MERCOSUR (INTRAZONA)"|"ANTONIOSITECNOLOGIAAGROINDUSTRIAL LTDA"|665093460|0|88247.56|"202212010"|2000.0|882.48|91130.04|91130.04|7298.29|"DOLAR"|"IC04"|"EXW"|82561441|72913910|9647531|"NUEVE MILLON SEISCIENTOS CUARENTA Y SIETE MIL QUINIENTOS TREINTA Y UN "|"NINGUNA"|"OTROS"|0|12.413509674264425
356|"IMPORTACIÓN"|"2023-02-02"|"NORTE SRL/SANTA ANA TEXTIL SA"|"-"|"HILOS"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PUENTE - CDE"|"TENORA LOGISTICA INTERNACIONAL LTDA"|"F.C.L."|"23005IC04002142F"|"MERCOSUR (INTRAZONA)"|"ZANETTE IMPORTACAO E EXPORTACAO LTDA"|494385627|0|64572.64|"001/23"|2400.0|645.73|67618.37|67618.37|7311.41|"DOLAR"|"IC04"|"CPT"|63257495|54218895|9038600|"NUEVE MILLON TREINTA Y OCHO MIL SEISCIENTOS "|"NINGUNA"|"OTROS"|0|12.795172744777226
353|"IMPORTACIÓN"|"2023-02-03"|"SCHWENDLER FRANTZ MATIAS"|"-"|"PULVERIZADOR"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"BTR"|"L.C.L."|"23005IC04002211C"|"MERCOSUR (INTRAZONA)"|"AGRAL IND E COM DE EQUIP ELECTRONICOS LTDA"|77305958|0|10000.0|"18530"|460.0|100.0|10560.0|10560.0|7320.64|"DOLAR"|"IC04"|"EXW"|12720784|8540330|4180454|"CUATRO MILLON CIENTO OCHENTA MIL CUATROCIENTOS CINCUENTA Y CUATRO "|"NINGUNA"|"OTROS"|0|16.455114623894836
352|"IMPORTACIÓN"|"2023-02-03"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"RODO RIVA TRANSPORTES LTDA"|"L.C.L."|"23005IC04002151F"|"MERCOSUR (INTRAZONA)"|"MAQUINAS AGRICOLAS JACTO S/A"|53122224|0|6502.91|"JMA0604E22"|750.0|3.59|7256.5|7256.5|7320.64|"DOLAR"|"IC04"|"CIP"|9793730|5927719|3866011|"TRES MILLON OCHOCIENTOS SESENTA Y SEIS MIL ONCE "|"NINGUNA"|"OTROS"|0|18.43621983898867
351|"IMPORTACIÓN"|"2023-01-27"|"ELECTRO PARANA SRL"|"2x40"|"ARTICULOS DE FERRETERIA "|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"FLUVIAL"|"TERPORT VILLETA "|"NAVEMAR SA"|"F.C.L."|"23038IC04000560N"|"EXTRAZONA"|"HANGZHOU LINAN XINLAN IMPORT & EXPORT CO. LTD"|992590110|0|119185.26|"SMT20220727"|14800.0|283.17|134268.43|134268.43|7392.58|"DOLAR"|"IC04"|"FOB"|217883570|207671357|10212213|"DIEZ MILLONES DOSCIENTOS DOCE MIL DOSCIENTOS TRECE "|"NINGUNA"|"OTROS"|0|21.95101158120546
349|"IMPORTACIÓN"|"2023-01-19"|"PULVIPAR SA"|"-"|"RULEMANES "|"SANTA RITA-ALTO PARANÁ/PY."|"AEREO"|"SOLUCIÓN LOGÍSTICA"|"LIDER EXPRESS SOCIEDAD ANONIMA"|"L.C.L."|"23030IC04000797R"|"EXTRAZONA"|"N01 (CHINA) POWER EQUIPAMENT CO., LIMITED"|101286629|0|13000.0|"20220919"|600.0|27.0|13627.0|13627.0|7432.79|"DOLAR"|"IC04"|"CIF"|29061487|21152077|7909410|"SIETE MILLON NOVECIENTOS NUEVE MIL CUATROCIENTOS DIEZ "|"NINGUNA"|"OTROS"|0|28.692323248313457
348|"IMPORTACIÓN"|"2023-01-26"|"REFRINAR S.R.L."|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"TRANSLIBERDADE LOGISTICA S.A."|"L.C.L."|"23005IC04001533X"|"MERCOSUR (INTRAZONA)"|"EMICOL ELETRO ELETRONICA S.A."|56780809|0|6776.2|"0539.22"|850.0|67.76|7693.96|7693.96|7379.92|"DOLAR"|"IC04"|"EXW"|9876247|6626172|3250075|"TRES MILLON DOSCIENTOS CINCUENTA MIL SETENTA Y CINCO "|"NINGUNA"|"OTROS"|0|17.393635585572582
347|"IMPORTACIÓN"|"2023-01-23"|"PULVIPAR SA"|"-"|"IMPLEMENTOS AGRICOLAS"|"SANTA RITA-ALTO PARANÁ/PY."|"TERRESTRE"|"PUENTE - CDE"|"COOP. MULT. DE TRABAJO Y OTRO "|"F.C.L."|"23005IC04001270G"|"MERCOSUR (INTRAZONA)"|"INDUSTRIA DE MAQUINAS E IMPLEMENTOS AGRICOLAS KF LTDA"|781801679|0|102270.46|"02/2023"|1800.0|1022.7|105093.16|105093.16|7439.13|"DOLAR"|"IC04"|"EXW"|96029939|85697064|10332875|"DIEZ MILLONES TRECIENTOS TREINTA Y DOS MIL OCHOCIENTOS SETENTA Y CINCO "|"NINGUNA"|"OTROS"|0|12.283158450469381
345|"IMPORTACIÓN"|"2023-01-13"|"IMPORTADORA DEALER SOCIEDAD ANONIMA"|"-"|"DRONES"|"CIUDAD DEL ESTE - ALTP PARANÁ / PY."|"TERRESTRE"|"PAKSA"|"EMPRESA NUESTRA SEÑORA DE LA A"|"L.C.L."|"23015IC04000328K"|"ACUERDO MERCO-CHILE"|"SUMMITAGRO"|312107102|0|40500.0|"0000000195"|1200.0|405.0|42105.0|42105.0|7412.59|"DOLAR"|"IC04"|"EXW"|60312863|0|60312863|"SESENTA MILLONES TRECIENTOS DOCE MIL OCHOCIENTOS SESENTA Y TRES "|"NINGUNA"|"OTROS"|0|19.324412233336492
