"idlqui","tipo","fec_despacho","importa","contene_nro","merca","destino","via","aduana","trans_emp","trans_condi","despacho_nro","zona","exportador","m_imponible","m_ajuste","m_factura","nro_factura","m_flete","m_seguro","m_cif","m_cif_ajuste","tc_aduana","moneda","regime","incotern","m_ttdespacho","m_adelanto","m_pagar","m_letra","observa","i_ord","i_descrip","i_comprobante","i_total","i_sin_iva","i_solo_iva","otro_nombre","otro_monto","utilidad"
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",1,"DERECHO ADUANERO","23005IT02000322S",0,0,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",2,"INDI","23005IT02000322S",0,0,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",3,"ARANC CONS FACTURA ","23005IT02000322S",0,0,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",3,"I.S.C.","23005IT02000322S",0,0,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",4,"SERVICIO DE VALORACION","23005IT02000322S",0,0,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",5,"IRE GENERAL 700","23005IT02000322S",0,0,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",6,"I.V.A.","23005IT02000322S",0,0,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",7,"TASA INT. ADUANERA ","23005IT02000322S",364162,364162,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",7,"ROYAL SEGUROS A COBRAR ","001-004-0008243",4095000,4095000,0,"OTROS",0,2.32911751168130881800
367,"IMPORTACIÓN","2023-02-15","SANTA ANA TEXTIL S.A.","-","HILOS","CIUDAD DEL ESTE - ALTP PARANÁ / PY.","TERRESTRE","PUENTE - CDE","TRANS UNION SOCIEDAD ANONIMA","F.C.L.","23005IT02000322S","EXTRAZONA","MALLANA ASIA IMPORT & EXPORT PTE.LTD",504419504,0,65903.54,"-",2694.99,659.04,69257.57,69257.57,7283.24,"DOLAR","IT02","FOB",11748523,4095000,7653523,"SIETE MILLON SEISCIENTOS CINCUENTA Y TRES MIL QUINIENTOS VEINTE Y TRES ","EL MONTO ADELANTO EN SISTEMA ES LA DEUDA A PAGAR POR LA FACTURA DE ROYAL SEGUROS ",8,"APERTURA AG. TRANSP.","001-004-0002815",450000,409090,40909,"OTROS",0,2.32911751168130881800
