"iditem_liquidacion_final"|"fecha_creado"|"creado_por"|"orden"|"descripcion"|"comprobante_nro"|"total_guarani"|"sin_iva"|"solo_iva"|"fk_idliquidacion_final"|"fk_idcomprobante_liquidacion"
1|"2022-01-18 16:52:17.309"|"3-ADMINISTRADOR"|1|"SERVICIO DE VALORACION"|"21002IC04027163K"|256693|0|0|1|34
2|"2022-01-18 16:52:17.317"|"3-ADMINISTRADOR"|2|"IRE GENERAL 700"|"21002IC04027163K"|207607|0|0|1|36
3|"2022-02-04 16:33:39.911"|"1-Digno Alfredo"|1|"DERECHO ADUANERO"|"32423sdfs"|0|0|0|2|2
4|"2022-02-04 16:33:39.916"|"1-Digno Alfredo"|2|"INDI"|"32423sdfs"|0|0|0|2|3
5|"2022-02-04 16:33:39.932"|"1-Digno Alfredo"|3|"I.S.C."|"32423sdfs"|0|0|0|2|4
6|"2022-02-04 16:33:39.994"|"1-Digno Alfredo"|4|"SERVICIO DE VALORACION"|"32423sdfs"|0|0|0|2|5
7|"2022-02-04 16:33:40.01"|"1-Digno Alfredo"|5|"MULTAS VARIAS"|"32423sdfs"|0|0|0|2|6
8|"2022-02-04 16:33:40.01"|"1-Digno Alfredo"|6|"IRACIS GENERAL 700"|"32423sdfs"|0|0|0|2|7
9|"2022-02-04 16:33:40.025"|"1-Digno Alfredo"|7|"I.V.A."|"32423sdfs"|0|0|0|2|8
10|"2022-02-04 16:33:40.025"|"1-Digno Alfredo"|8|"CANON INFORMATICO"|"x"|0|0|0|2|9
11|"2022-02-04 16:33:40.041"|"1-Digno Alfredo"|9|"CDAP/ANNP"|"x"|0|0|0|2|10
12|"2022-02-04 16:33:40.041"|"1-Digno Alfredo"|10|"SERVICIOS SOFIA / ANNP"|"x"|0|0|0|2|11
13|"2022-02-04 16:33:40.057"|"1-Digno Alfredo"|11|"FOTOCOPIAS"|"x"|0|0|0|2|12
14|"2022-02-04 16:33:40.057"|"1-Digno Alfredo"|12|"APERTURA AG. TRANSP."|"x"|0|0|0|2|13
15|"2022-02-04 16:33:40.072"|"1-Digno Alfredo"|13|"TASA PORTUARIA"|"x"|0|0|0|2|14
16|"2022-02-04 16:33:40.072"|"1-Digno Alfredo"|14|"VISACION DCTOS"|"x"|0|0|0|2|15
17|"2022-02-04 16:33:40.088"|"1-Digno Alfredo"|15|"HON. DESP. S/ LEY 220/93"|"x"|500000|454545|45454|2|16
18|"2022-02-04 16:33:40.088"|"1-Digno Alfredo"|16|"GASTO ADMIN."|"x"|0|0|0|2|17
19|"2022-02-04 16:33:40.104"|"1-Digno Alfredo"|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|2|18
20|"2022-02-04 16:33:40.119"|"1-Digno Alfredo"|18|"AGILIZACION MIC"|"x"|0|0|0|2|19
